Text,Address,Street_Number,Street_Name,Street_Address,City,B-Zipcode,I-Zipcode,Zipcode,State,Country
"TSSC Telephone: 0330 010 0410 Local Telephone: 0208 903 6333 Fax: 0208 795 2072 Registered Address: 923 Finchley Road NW11 7PE London GB Company Reg Number: 5870213 England VAT number: 888 1150 02","923 Finchley Road NW11 7PE London GB","923","Finchley Road","923 Finchley Road","London","NW11","7PE","NW11 7PE","","GB"
"Easthams Solicitors Limited Registered Office: Continental House 292 302 Church Street Blackpool FY1 3QA","302 Church Street Blackpool FY1 3QA","302","Church Street","302 Church Street","Blackpool","FY1","3QA","FY1 3QA","",""
"High Street, Cranfield Bedford Bedfordshire MK43 0DG","","","High Street","High Street","Bedford","MK43","0DG","MK43 0DG","Bedfordshire",""
"Rokit Website Returns, Unit 2 Rangemoor Road, Tottenham, London, N15 4NG","Rangemoor Road, Tottenham, London, N15 4NG","","Rangemoor Road","Rangemoor Road","London","N15","4NG","N15 4NG","",""
"2024 Clixx Win Limited All rights reserved Registered in England Company No 14481927 Registered at Delta House, 16 Bridge Road, Haywards Heath, RH16 1UA VAT Registration No 441 8281 96","16 Bridge Road, Haywards Heath, RH16 1UA","16","Bridge Road","16 Bridge Road","Haywards Heath","RH16","1UA","RH16 1UA","",""
"KJN Home Improvements Ltd Trading address: 74 Arundel Drive, Fareham, PO16 7NU Registered Company Number: 09895939 VAT number 232376715 Registered in England and Wales Telephone: 01329 237 715 Email: info@kjnhomeimprovements co uk","74 Arundel Drive, Fareham, PO16 7NU","74","Arundel Drive","74 Arundel Drive","Fareham","PO16","7NU","PO16 7NU","",""
"SELLER means Humphrey Pullets Limited, Hazeley Road, Twyford, Winchester, Hampshire, SO21 1QA, company number 06780228","Hazeley Road, Twyford, Winchester, Hampshire, SO21 1QA","","Hazeley Road","Hazeley Road","Winchester","SO21","1QA","SO21 1QA","Hampshire",""
"Registered office: Sort Of Films Ltd Sort Of Films Ltd, Electric Works, 3 Concourse Way, Sheffield S1 2BJ Company Registration Number: 4898824","3 Concourse Way, Sheffield S1 2BJ","3","Concourse Way","3 Concourse Way","Sheffield","S1","2BJ","S1 2BJ","",""
"Address: Implant Cosmetic Smiles Clinic 27 Bedford Square, Houghton Regis, LU5 5ES","27 Bedford Square, Houghton Regis, LU5 5ES","27","Bedford Square","27 Bedford Square","Houghton Regis","LU5","5ES","LU5 5ES","",""
"447 Burton Road, Midway, Swadlincote, DE11 7NB","","447","Burton Road","Burton Road","Swadlincote","DE11","7NB","DE11 7NB","",""
